"","date&time","person","social_media","socialising","avoid_people","avoid_activities","procrastinating","positive","negative","submit"
"1","2021-11-17 05:01:22","1","150","60","1","1","1","9","2","1"
"2","2021-11-17 08:12:20","1","38","120","2","1","2","9","1","1"
"3","2021-11-17 11:09:00","1","105","0","1","1","2","9","1","1"
"4","2021-11-17 14:01:31","1","110","0","1","1","1","9","2","1"
"5","2021-11-18 05:01:05","1","110","125","1","2","2","10","1","1"
"6","2021-11-18 08:01:14","1","15","20","3","2","3","8","3","1"
"7","2021-11-18 11:01:58","1","60","0","1","1","2","7","3","1"
"8","2021-11-18 14:00:52","1","100","0","1","1","2","10","2","1"
"9","2021-11-19 05:02:30","1","120","50","1","3","3","9","1","1"
"10","2021-11-19 08:01:30","1","30","40","4","3","3","8","2","1"
"11","2021-11-19 11:01:22","1","80","0","1","3","4","5","5","1"
"12","2021-11-19 14:02:37","1","70","0","1","1","2","10","2","1"
"13","2021-11-20 05:05:25","1","105","0","1","3","4","7","4","1"
"14","2021-11-20 08:02:16","1","30","0","4","5","6","5","5","1"
"15","2021-11-20 11:01:02","1","93","0","3","3","3","9","2","1"
"16","2021-11-20 14:01:45","1","95","0","2","2","2","10","1","1"
"17","2021-11-21 05:00:57","1","172","0","3","5","4","6","4","1"
"18","2021-11-21 08:02:01","1","11","76","1","1","1","10","1","1"
"19","2021-11-21 11:00:44","1","60","25","2","4","4","7","3","1"
"20","2021-11-21 14:00:51","1","86","0","1","4","5","5","4","1"
"21","2021-11-22 05:01:07","1","123","0","3","8","8","1","5","1"
"22","2021-11-22 08:00:55","1","13","1","1","1","1","8","2","1"
"23","2021-11-22 11:01:13","1","105","0","1","1","1","6","3","1"
"24","2021-11-22 14:00:54","1","90","0","1","2","2","7","3","1"
"25","2021-11-23 05:01:07","1","111","90","1","2","1","10","1","1"
"26","2021-11-23 08:00:51","1","20","180","1","2","2","10","2","1"
"27","2021-11-23 11:01:15","1","15","100","1","2","1","9","2","1"
"28","2021-11-23 14:01:36","1","20","60","1","1","2","8","2","1"
"29","2021-11-24 05:01:21","1","102","90","2","1","2","9","2","1"
"30","2021-11-24 08:52:03","1","10","120","2","2","2","10","2","1"
"31","2021-11-24 11:01:00","1","61","20","3","3","2","7","3","1"
"32","2021-11-24 14:01:07","1","112","0","1","4","4","7","3","1"
"33","2021-11-25 05:01:02","1","113","45","3","6","4","7","2","1"
"34","2021-11-25 08:04:18","1","30","30","3","4","4","7","3","1"
"35","2021-11-25 11:01:11","1","93","0","2","2","2","10","1","1"
"36","2021-11-25 14:00:47","1","55","0","4","4","2","9","2","1"
"37","2021-11-26 05:01:34","1","119","0","3","4","5","5","3","1"
"38","2021-11-26 08:00:33","1","48","0","5","5","5","6","4","1"
"39","2021-11-26 11:01:03","1","87","0","6","4","5","6","5","1"
"40","2021-11-26 14:00:42","1","78","0","3","3","3","4","4","1"
"41","2021-11-27 05:12:10","1","144","71","1","2","2","10","1","1"
"42","2021-11-27 08:01:18","1","15","180","1","1","1","10","1","1"
"43","2021-11-27 11:01:02","1","20","180","1","2","2","10","1","1"
"44","2021-11-27 14:01:13","1","26","120","1","1","2","8","3","1"
"45","2021-11-28 05:05:38","1","121","0","2","8","8","6","5","1"
"46","2021-11-28 08:00:44","1","47","0","4","5","4","7","3","1"
"47","2021-11-28 11:01:59","1","135","0","3","3","3","7","2","1"
"48","2021-11-28 14:00:43","1","120","0","2","2","3","6","3","1"
"49","2021-11-29 05:00:53","1","102","0","4","4","7","5","4","1"
"50","2021-11-29 08:00:51","1","40","1","6","7","7","1","10","1"
"51","2021-11-29 11:01:25","1","90","5","1","4","4","4","4","1"
"52","2021-11-29 14:01:29","1","28","90","3","3","3","6","3","1"
"53","2021-11-30 05:05:33","1","102","20","2","4","3","6","5","1"
"54","2021-11-30 08:01:01","1","30","90","2","3","3","7","5","1"
"55","2021-11-30 11:01:28","1","85","25","2","2","2","6","4","1"
"56","2021-11-30 14:01:08","1","20","180","1","2","1","8","2","1"
"57","2021-12-01 05:00:56","1","81","0","2","3","3","9","3","1"
"58","2021-12-01 08:04:32","1","75","0","2","3","3","6","5","1"
"59","2021-12-01 11:01:01","1","117","30","3","3","3","7","3","1"
"60","2021-12-01 14:00:46","1","150","0","2","3","3","7","3","1"
"61","2021-12-02 05:00:59","1","96","0","4","2","2","8","3","1"
"62","2021-12-02 08:22:46","1","90","0","5","4","8","4","8","1"
"63","2021-12-02 11:01:07","1","65","0","5","5","3","3","7","1"
"64","2021-12-02 14:00:44","1","0","0","10","10","2","1","8","1"
"65","2021-12-03 05:01:43","1","123","0","6","5","5","6","4","1"
"66","2021-12-03 08:00:44","1","104","0","3","4","6","6","4","1"
"67","2021-12-03 11:01:10","1","81","0","3","3","3","7","3","1"
"68","2021-12-03 14:01:02","1","102","0","3","3","3","6","4","1"
"69","2021-12-04 05:04:37","1","72","0","3","3","3","7","3","1"
"70","2021-12-04 08:03:52","1","90","0","3","3","3","6","3","1"
"71","2021-12-04 11:01:09","1","81","0","3","2","1","7","2","1"
"72","2021-12-04 14:17:29","1","35","0","3","1","1","10","3","1"
"73","2021-12-05 05:00:51","1","82","0","3","5","6","7","4","1"
"74","2021-12-05 08:08:08","1","46","60","2","2","2","8","3","1"
"75","2021-12-05 11:01:42","1","100","0","4","4","4","8","3","1"
"76","2021-12-05 14:01:12","1","60","0","5","2","2","7","2","1"
"77","2021-12-06 05:05:47","1","21","185","1","4","4","10","1","1"
"78","2021-12-06 08:18:16","1","10","20","1","1","1","10","3","1"
"79","2021-12-06 11:02:03","1","20","30","1","1","1","10","2","1"
"80","2021-12-06 14:03:21","1","59","0","3","3","3","7","3","1"
"81","2021-12-07 05:07:41","1","48","80","2","4","5","10","3","1"
"82","2021-12-07 08:07:18","1","18","120","2","3","4","10","3","1"
"83","2021-12-07 11:02:32","1","46","0","2","2","2","8","3","1"
"84","2021-12-07 14:02:19","1","130","0","1","1","1","7","3","1"
"85","2021-12-08 05:02:57","1","91","0","4","3","5","7","4","1"
"86","2021-12-08 08:00:51","1","35","0","4","4","3","4","6","1"
"87","2021-12-08 11:03:28","1","62","0","5","5","7","6","4","1"
"88","2021-12-08 14:03:36","1","84","0","2","1","1","4","9","1"
"89","2021-12-09 05:17:45","1","33","165","1","3","2","10","2","1"
"90","2021-12-09 08:01:45","1","36","0","5","1","2","8","4","1"
"91","2021-12-09 11:07:37","1","55","25","1","3","3","10","3","1"
"92","2021-12-09 14:00:38","1","10","180","1","1","1","10","2","1"
"93","2021-12-10 05:01:25","1","54","60","1","2","2","8","3","1"
"94","2021-12-10 08:06:00","1","11","120","1","3","3","10","1","1"
"95","2021-12-10 11:01:24","1","18","120","1","3","2","10","4","1"
"96","2021-12-10 14:14:50","1","90","0","2","6","5","6","3","1"
"97","2021-12-11 05:01:47","1","93","0","1","1","1","10","4","1"
"98","2021-12-11 08:02:46","1","50","0","2","3","4","8","4","1"
"99","2021-12-11 11:00:48","1","80","0","6","3","7","4","7","1"
"100","2021-12-11 14:09:07","1","86","0","1","1","2","10","2","1"
"101","2021-12-12 05:02:34","1","86","0","2","3","5","7","2","1"
"102","2021-12-12 08:13:51","1","49","0","1","4","6","5","7","1"
"103","2021-12-12 11:03:49","1","75","0","1","3","5","5","7","1"
"104","2021-12-12 14:34:06","1","80","90","1","3","5","10","3","1"
